cols,pvalue
manufacturer+model,"variables ar not simimilars, 0.0"
manufacturer+cylinders,"variables ar not simimilars, 0.0"
manufacturer+fuel,"variables ar not simimilars, 0.0"
manufacturer+title_status,"variables ar not simimilars, 0.0"
manufacturer+transmission,"variables ar not simimilars, 0.0"
manufacturer+drive,"variables ar not simimilars, 0.0"
manufacturer+type,"variables ar not simimilars, 0.0"
manufacturer+state,"variables ar not simimilars, 0.0"
manufacturer+odometer_cat,"variables ar not simimilars, 0.0"
model+cylinders,"variables ar not simimilars, 0.0"
model+fuel,"variables ar not simimilars, 0.0"
model+title_status,"variables ar not simimilars, 0.0"
model+transmission,"variables ar not simimilars, 0.0"
model+drive,"variables ar not simimilars, 0.0"
model+type,"variables ar not simimilars, 0.0"
model+state,"variables ar not simimilars, 2.5202062658991053e-14"
model+odometer_cat,"variables ar not simimilars, 0.0"
cylinders+fuel,"variables ar not simimilars, 0.0"
cylinders+title_status,"variables ar not simimilars, 0.0"
cylinders+transmission,"variables ar not simimilars, 0.0"
cylinders+drive,"variables ar not simimilars, 0.0"
cylinders+type,"variables ar not simimilars, 0.0"
cylinders+state,"variables ar not simimilars, 0.0"
cylinders+odometer_cat,"variables ar not simimilars, 0.0"
fuel+title_status,"variables ar not simimilars, 0.0"
fuel+transmission,"variables ar not simimilars, 0.0"
fuel+drive,"variables ar not simimilars, 0.0"
fuel+type,"variables ar not simimilars, 0.0"
fuel+state,"variables ar not simimilars, 0.0"
fuel+odometer_cat,"variables ar not simimilars, 0.0"
title_status+transmission,"variables ar not simimilars, 0.0"
title_status+drive,"variables ar not simimilars, 0.0"
title_status+type,"variables ar not simimilars, 0.0"
title_status+state,"variables ar not simimilars, 0.0"
title_status+odometer_cat,"variables ar not simimilars, 0.0"
transmission+drive,"variables ar not simimilars, 0.0"
transmission+type,"variables ar not simimilars, 0.0"
transmission+state,"variables ar not simimilars, 0.0"
transmission+odometer_cat,"variables ar not simimilars, 0.0"
drive+type,"variables ar not simimilars, 0.0"
drive+state,"variables ar not simimilars, 0.0"
drive+odometer_cat,"variables ar not simimilars, 0.0"
type+state,"variables ar not simimilars, 0.0"
type+odometer_cat,"variables ar not simimilars, 0.0"
state+odometer_cat,"variables ar not simimilars, 0.0"
